formula,AIC,BIC
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),2598.098947,2647.959760
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),2622.447978,2672.308791
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2624.179276,2674.040089
log(response_time) ~ domain + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2929.812994,2979.673806
log(response_time) ~ domain + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2609.994817,2659.855630
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2599.481767,2654.882671
log(response_time) ~ session_num + (1|id),3706.380519,3728.540880
log(response_time) ~ session_num + (1|stimulus),3022.397925,3044.558286
log(response_time) ~ session_num + (1|id:domain),3648.004570,3670.164932
log(response_time) ~ session_num + (1|id:condition),3726.183685,3748.344047
log(response_time) ~ session_num + (1|stimulus:condition),3303.577287,3325.737648
log(response_time) ~ session_num + (1|id:domain:condition),3703.886681,3726.047043
log(response_time) ~ session_num + (1|id) + (1|stimulus),2679.503996,2707.204448
log(response_time) ~ session_num + (1|id) + (1|id:domain),3643.083882,3670.784334
log(response_time) ~ session_num + (1|id) + (1|id:condition),3702.990328,3730.690779
log(response_time) ~ session_num + (1|id) + (1|stimulus:condition),3001.304961,3029.005412
log(response_time) ~ session_num + (1|id) + (1|id:domain:condition),3664.255050,3691.955502
log(response_time) ~ session_num + (1|stimulus) + (1|id:domain),2632.747829,2660.448281
log(response_time) ~ session_num + (1|stimulus) + (1|id:condition),2680.855353,2708.555805
log(response_time) ~ session_num + (1|stimulus) + (1|stimulus:condition),3023.032641,3050.733092
log(response_time) ~ session_num + (1|stimulus) + (1|id:domain:condition),2688.059555,2715.760006
log(response_time) ~ session_num + (1|id:domain) + (1|id:condition),3642.613593,3670.314045
log(response_time) ~ session_num + (1|id:domain) + (1|stimulus:condition),2971.926129,2999.626580
log(response_time) ~ session_num + (1|id:domain) + (1|id:domain:condition),3646.483285,3674.183737
log(response_time) ~ session_num + (1|id:condition) + (1|stimulus:condition),3000.263342,3027.963793
log(response_time) ~ session_num + (1|id:condition) + (1|id:domain:condition),3689.301095,3717.001547
log(response_time) ~ session_num + (1|stimulus:condition) + (1|id:domain:condition),3018.438443,3046.138895
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:domain),2618.793555,2652.034097
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:condition),2655.421186,2688.661728
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|stimulus:condition),2679.218954,2712.459496
