formula,AIC,BIC
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),15211.324626,15255.645349
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),15223.041557,15267.362280
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15231.778073,15276.098795
response_time ~ session_num + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15518.602829,15562.923552
response_time ~ session_num + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15219.338589,15263.659312
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15213.324626,15263.185439
response_time ~ condition + domain + (1|id),16049.935228,16088.715860
response_time ~ condition + domain + (1|stimulus),15428.439217,15467.219849
response_time ~ condition + domain + (1|id:domain),16061.856375,16100.637007
response_time ~ condition + domain + (1|id:condition),16055.698841,16094.479473
response_time ~ condition + domain + (1|stimulus:condition),15700.572098,15739.352730
response_time ~ condition + domain + (1|id:domain:condition),16092.384726,16131.165358
response_time ~ condition + domain + (1|id) + (1|stimulus),15274.307804,15318.628527
response_time ~ condition + domain + (1|id) + (1|id:domain),16047.921297,16092.242020
response_time ~ condition + domain + (1|id) + (1|id:condition),16044.265348,16088.586071
response_time ~ condition + domain + (1|id) + (1|stimulus:condition),15559.844093,15604.164816
response_time ~ condition + domain + (1|id) + (1|id:domain:condition),16049.530311,16093.851033
response_time ~ condition + domain + (1|stimulus) + (1|id:domain),15259.281797,15303.602520
response_time ~ condition + domain + (1|stimulus) + (1|id:condition),15255.631675,15299.952398
response_time ~ condition + domain + (1|stimulus) + (1|stimulus:condition),15430.439217,15474.759940
response_time ~ condition + domain + (1|stimulus) + (1|id:domain:condition),15282.124749,15326.445471
response_time ~ condition + domain + (1|id:domain) + (1|id:condition),16049.873386,16094.194108
response_time ~ condition + domain + (1|id:domain) + (1|stimulus:condition),15561.888500,15606.209223
response_time ~ condition + domain + (1|id:domain) + (1|id:domain:condition),16063.459538,16107.780260
response_time ~ condition + domain + (1|id:condition) + (1|stimulus:condition),15538.699851,15583.020574
response_time ~ condition + domain + (1|id:condition) + (1|id:domain:condition),16057.698841,16102.019563
response_time ~ condition + domain + (1|stimulus:condition) + (1|id:domain:condition),15576.019317,15620.340040
response_time ~ condition + domain + (1|id) + (1|stimulus) + (1|id:domain),15248.201526,15298.062339
response_time ~ condition + domain + (1|id) + (1|stimulus) + (1|id:condition),15245.302764,15295.163577
response_time ~ condition + domain + (1|id) + (1|stimulus) + (1|stimulus:condition),15276.307804,15326.168617
response_time ~ condition + domain + (1|id) + (1|stimulus) + (1|id:domain:condition),15239.935712,15289.796525
response_time ~ condition + domain + (1|id) + (1|id:domain) + (1|id:condition),16041.951298,16091.812111
response_time ~ condition + domain + (1|id) + (1|id:domain) + (1|stimulus:condition),15546.354098,15596.214911
response_time ~ condition + domain + (1|id) + (1|id:domain) + (1|id:domain:condition),16049.507378,16099.368191
response_time ~ condition + domain + (1|id) + (1|id:condition) + (1|stimulus:condition),15530.119616,15579.980428
response_time ~ condition + domain + (1|id) + (1|id:condition) + (1|id:domain:condition),16046.265348,16096.126161
response_time ~ condition + domain + (1|id) + (1|stimulus:condition) + (1|id:domain:condition),15534.561749,15584.422562
response_time ~ condition + domain + (1|stimulus) + (1|id:domain) + (1|id:condition),15221.247790,15271.108603
response_time ~ condition + domain + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),15261.281797,15311.142610
response_time ~ condition + domain + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),15246.929088,15296.789901
response_time ~ condition + domain + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),15257.515468,15307.376281
response_time ~ condition + domain + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),15246.976754,15296.837567
response_time ~ condition + domain + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),15284.124749,15333.985562
response_time ~ condition + domain + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),15519.470285,15569.331098
