formula,AIC,BIC
response_time ~ domain + (1|id) + (1|id:domain) + (1|id:domain:condition),6582.206566,6610.606977
response_time ~ domain + (1|id) + (1|id:condition) + (1|stimulus:condition),6601.371447,6629.771859
response_time ~ domain + (1|id) + (1|id:condition) + (1|id:domain:condition),6596.775063,6625.175475
response_time ~ domain + (1|id) + (1|stimulus:condition) + (1|id:domain:condition),6574.753586,6603.153998
response_time ~ domain + (1|stimulus) + (1|id:domain) + (1|id:condition),6520.222852,6548.623263
response_time ~ domain + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),6522.285478,6550.685889
response_time ~ domain + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),6520.095263,6548.495675
response_time ~ domain + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),6574.790672,6603.191083
response_time ~ domain + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),6544.367531,6572.767942
response_time ~ domain + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),6544.367531,6572.767943
response_time ~ domain + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),6559.457433,6587.857844
response_time ~ domain + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),6581.893829,6610.294241
response_time ~ domain + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),6558.914605,6587.315017
response_time ~ domain + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6581.710851,6610.111262
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition),6522.222852,6555.356665
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),6524.285232,6557.419045
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),6522.095261,6555.229074
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),6565.621832,6598.755646
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),6539.114288,6572.248101
response_time ~ domain + (1|id) + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),6539.114288,6572.248101
response_time ~ domain + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),6561.457476,6594.591289
response_time ~ domain + (1|id) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),6583.893829,6617.027642
response_time ~ domain + (1|id) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),6560.914390,6594.048203
response_time ~ domain + (1|id) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6576.753586,6609.887400
response_time ~ domain + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),6522.222852,6555.356665
response_time ~ domain + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),6521.821696,6554.955509
response_time ~ domain + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),6522.095263,6555.229077
response_time ~ domain + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6546.332728,6579.466541
response_time ~ domain + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6560.769995,6593.903809
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),6524.222852,6562.090067
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),6523.821696,6561.688911
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),6524.095260,6561.962475
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6541.114288,6578.981503
response_time ~ domain + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6562.769995,6600.637210
response_time ~ domain + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6523.821696,6561.688911
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6525.821696,6568.422313
response_time ~ session_num + (1|id),6821.735764,6840.669371
